book_rank,title,author,publisher,price,date_added
1,혼모노,['성해나(지은이)'],창비,"16,200원",2025-06-24
2,안녕이라 그랬어,['김애란(지은이)'],문학동네,"15,120원",2025-06-24
3,원피스 111,['오다 에이치로(지은이)'],대원씨아이(만화),"5,400원",2025-06-24
4,"첫 여름, 완주",['김금희(지은이)'],무제,"15,300원",2025-06-24
5,괴수 8호 RELAX 2,"['마츠모토 나오야(원작)', 'Kizuku Watanabe(원작)', '유유리(원작)']",서울미디어코믹스(서울문화사),"5,400원",2025-06-24
6,스파이 패밀리 15,['엔도 타츠야(지은이)'],학산문화사(만화),"5,400원",2025-06-24
7,청춘의 독서 (특별증보판),['유시민(지은이)'],웅진지식하우스,"17,010원",2025-06-24
8,세계 경제 지각 변동,['박종훈(지은이)'],글로퍼스,"19,800원",2025-06-24
9,단 한 번의 삶,['김영하(지은이)'],복복서가,"15,120원",2025-06-24
10,작은 땅의 야수들,"['김주혜(지은이)', '박소현(지은이)']",다산책방,"16,200원",2025-06-24
11,미지의 서울 세트 - 전2권,['이강(지은이)'],Birdbox,"41,400원",2025-06-24
12,마침내 특이점이 시작된다,"['레이 커즈와일(지은이)', '이충호(지은이)', '장대익(지은이)']",비즈니스북스,"27,000원",2025-06-24
13,고전이 답했다 마땅히 가져야 할 부에 대하여,['고명환(지은이)'],라곰,"16,020원",2025-06-24
14,소년이 온다,['한강(지은이)'],창비,"13,500원",2025-06-24
15,모순,['양귀자(지은이)'],쓰다,"11,700원",2025-06-24
16,밤새들의 도시,"['김주혜(지은이)', '김보람(지은이)']",다산책방,"17,820원",2025-06-24
17,료의 생각 없는 생각,['료(지은이)'],열림원,"18,000원",2025-06-24
18,"2025 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",['최태성(지은이)'],이투스북,"14,850원",2025-06-24
19,열혈강호 93,"['전극진(지은이)', '양재현(지은이)']",대원씨아이(만화),"4,950원",2025-06-24
20,위버멘쉬,"['프리드리히 니체(지은이)', '어나니머스(지은이)']",RISE(떠오름),"16,020원",2025-06-24
