book_rank,title,author,publisher,price,date_added
1,유지만 다이어트 레시피,유지만저,길벗,"19,800",2025-06-15
2,혼모노,성해나저,창비,"16,200",2025-06-15
3,청춘의 독서,유시민저,웅진지식하우스,"17,010",2025-06-15
4,"첫 여름, 완주",김금희저,무제,"15,300",2025-06-15
5,우리의 낙원에서 만나자,하태완저,북로망스,"17,550",2025-06-15
6,일과 성공의 길을 묻다,마쓰시타 고노스케저/김정환역,지니의서재,"16,020",2025-06-15
7,이재명 자서전,"이재명,스토리텔링콘텐츠연구소저",아시아,"15,120",2025-06-15
8,결국 국민이 합니다,이재명저,오마이북,"19,800",2025-06-15
9,기꺼이 소란하고 다정하기로 해,조수연저,코리아닷컴(Korea.com),"15,750",2025-06-15
10,왓츠 유어 드림,사이먼 스큅저/최인하역,북파머스,"19,800",2025-06-15
11,단 한 번의 삶,김영하저,복복서가,"15,120",2025-06-15
12,워런 버핏 웨이,로버트 해그스트롬저/신용우역,상상스퀘어,"29,700",2025-06-15
13,소년이 온다,한강저,창비,"13,500",2025-06-15
14,"혹시, 돈 얘기해도 될까요?",주언규저,필름,"17,820",2025-06-15
15,어른의 품격을 채우는 100일 필사 노트,김종원저,청림Life,"18,000",2025-06-15
16,어른의 행복은 조용하다,태수저,페이지2북스,"16,020",2025-06-15
17,모순,양귀자저,쓰다,"11,700",2025-06-15
18,행복한 철학자,우애령저/펀자이씨(엄유진)그림,하늘재,"17,100",2025-06-15
19,멜로우TV 3 : 멜싹오싹 위험한 미션,멜로우 TV원저/한바리글/차차그림,학산문화사(단행본),"15,120",2025-06-15
20,급류,정대건저,민음사,"12,600",2025-06-15
